,Negative,Neutral,Positive,Negative counts,Neutral counts,Positive counts,Word counts,Negative TFIDF,Neutral TFIDF,Positive TFIDF,word
0,1.0,0.0,1.0,3.0,0.0,2.0,5.0,0.6,0.0,0.4,sweet
1,1.0,1.0,1.0,1.0,1.0,3.0,5.0,0.2,0.2,0.6,Vern
2,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.5,0.0,0.5,Celeste
3,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,affordable
4,1.0,1.0,1.0,1.0,1.0,7.0,9.0,0.1111111111111111,0.1111111111111111,0.7777777777777778,application
5,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,elder
6,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,sang
7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,Hindu
8,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,guitar
9,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,Nigel
10,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,recommendee
11,0.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.5,0.5,criticism
12,1.0,1.0,0.0,2.0,2.0,0.0,4.0,0.5,0.5,0.0,Australia
13,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,cadet
14,1.0,1.0,1.0,8.0,3.0,3.0,14.0,0.5714285714285714,0.21428571428571427,0.21428571428571427,notice
15,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,Secale
16,1.0,1.0,0.0,1.0,1.0,0.0,2.0,0.5,0.5,0.0,cheapery
17,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,Jayant
18,0.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,Lot
19,1.0,0.0,1.0,2.0,0.0,1.0,3.0,0.6666666666666666,0.0,0.3333333333333333,hi
20,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,calf
21,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,Eremian
22,1.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,monsterhood
23,0.0,1.0,1.0,0.0,2.0,1.0,3.0,0.0,0.6666666666666666,0.3333333333333333,December
24,1.0,0.0,1.0,9.0,0.0,3.0,12.0,0.75,0.0,0.25,deserve
25,1.0,1.0,1.0,14.0,1.0,1.0,16.0,0.875,0.0625,0.0625,already
26,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,Mike
27,0.0,1.0,0.0,0.0,8.0,0.0,8.0,0.0,1.0,0.0,research
28,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,Decian
29,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,frozen
30,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,seal
31,1.0,1.0,0.0,2.0,3.0,0.0,5.0,0.4,0.6,0.0,contract
32,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,unhappiness
