,Negative,Neutral,Positive,Negative counts,Neutral counts,Positive counts,Word counts,Negative TFIDF,Neutral TFIDF,Positive TFIDF,word
0,1.0,0.0,0.0,4.0,0.0,0.0,4.0,1.0,0.0,0.0,un
1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,Comitium
2,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,storied
3,1.0,0.0,0.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,Terrance
4,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,safe
5,0.0,1.0,1.0,0.0,1.0,2.0,3.0,0.0,0.3333333333333333,0.6666666666666666,needer
6,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,Ike
7,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,Chane
8,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,nil
9,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,param
10,1.0,1.0,0.0,1.0,3.0,0.0,4.0,0.25,0.75,0.0,admit
11,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.5,0.0,0.5,beginning
12,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,haw
13,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,mastermind
14,0.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,decided
15,1.0,0.0,1.0,3.0,0.0,2.0,5.0,0.6,0.0,0.4,whole
16,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,accidental
17,1.0,1.0,1.0,14.0,22.0,17.0,53.0,0.2641509433962264,0.41509433962264153,0.32075471698113206,P
18,1.0,1.0,1.0,2.0,5.0,6.0,13.0,0.15384615384615385,0.38461538461538464,0.46153846153846156,free
19,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,legitimate
20,1.0,0.0,1.0,2.0,0.0,1.0,3.0,0.6666666666666666,0.0,0.3333333333333333,naked
21,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,Sal
22,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,Bat
23,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,formerly
24,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,watching
25,1.0,0.0,0.0,6.0,0.0,0.0,6.0,1.0,0.0,0.0,900
26,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,stipend
27,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,horizon
28,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,presumably
29,0.0,0.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,Gamelion
30,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,lorry
31,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,information
32,0.0,1.0,1.0,0.0,1.0,2.0,3.0,0.0,0.3333333333333333,0.6666666666666666,wipe
33,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,anniversary
34,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,seedage
35,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,smoked
36,1.0,1.0,1.0,2.0,3.0,1.0,6.0,0.3333333333333333,0.5,0.16666666666666666,voice
